@relation creditRisk

@attribute Married {Yes, No}
@attribute Dependents {0, 1, 2, 3}
@attribute Education {Graduate, NotGraduate}
@attribute Self_Employed {Yes, No} 
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History {0, 1}
@attribute Property_Area {Rural, Urban, Semiurban}
@attribute Loan_Status {Y, N}

@data
No,0,NotGraduate,No,2107,0,64,360,1,Semiurban,Y
Yes,2,Graduate,Yes,5000,2166,150,360,1,Urban,Y
Yes,0,NotGraduate,Yes,3943,0,64,360,1,Semiurban,Y
No,0,Graduate,No,2925,0,40,180,1,Rural,Y
Yes,3,Graduate,No,3242,437,142,480,0,Urban,N
No,1,Graduate,No,4028,0,131,360,1,Semiurban,Y
Yes,2,Graduate,No,4010,1025,120,360,1,Urban,Y
Yes,1,Graduate,No,3719,1585,114,360,1,Urban,Y
Yes,0,Graduate,No,3833,0,92,360,1,Rural,Y
Yes,0,Graduate,No,3333,4288,160,360,1,Urban,Y
Yes,0,Graduate,No,3007,3725,151,360,1,Rural,Y
Yes,3,NotGraduate,No,2792,2619,171,360,1,Semiurban,Y
Yes,0,Graduate,No,2982,1550,110,360,1,Semiurban,Y
Yes,1,Graduate,No,18840,0,234,360,1,Rural,Y
Yes,2,Graduate,No,2995,1120,184,360,1,Rural,Y
Yes,1,NotGraduate,No,3835,1400,112,480,0,Urban,N
No,1,NotGraduate,No,3854,3575,117,360,1,Rural,Y
Yes,2,Graduate,No,5833,750,49,360,0,Rural,N
No,0,Graduate,No,3508,0,99,360,1,Rural,N
Yes,3,NotGraduate,No,1635,2444,99,360,1,Urban,Y
No,0,Graduate,Yes,3333,3916,212,360,1,Rural,Y
No,1,Graduate,No,24797,0,240,360,1,Semiurban,Y
Yes,2,Graduate,No,5667,440,130,360,0,Semiurban,N
No,0,Graduate,No,3500,0,94,360,0,Semiurban,N
Yes,3,Graduate,No,2773,1497,108,360,1,Semiurban,Y
No,0,Graduate,No,5769,0,110,180,1,Semiurban,Y
No,0,Graduate,No,2166,2057,122,360,1,Semiurban,Y
Yes,0,Graduate,No,5000,0,126,360,1,Rural,Y
No,0,NotGraduate,No,9000,0,122,360,1,Rural,Y
Yes,2,Graduate,No,10000,11666,460,360,1,Urban,Y
No,0,Graduate,No,4983,0,141,360,1,Urban,Y
Yes,0,Graduate,No,3667,2000,170,360,1,Semiurban,Y
Yes,2,Graduate,No,3166,2833,145,360,1,Urban,Y
No,0,NotGraduate,No,3271,0,90,360,1,Rural,N
Yes,0,Graduate,No,2241,2000,88,360,0,Urban,N
Yes,0,Graduate,No,2666,0,84,480,1,Semiurban,Y
Yes,2,NotGraduate,No,3729,0,117,360,1,Semiurban,Y
